Point	Row	Column	110_s_MaxIntensity
1	1	1	3965.5552
2	1	2	3981.1921
3	1	3	3738.6387
4	1	4	3596.5464
5	1	5	2557.1099
6	1	6	
7	1	7	2507.5293
8	1	8	2638.877
9	1	9	2491.374
10	1	10	
11	1	11	
12	2	1	4476.3164
13	2	2	4620.769
14	2	3	4385.9756
15	2	4	3816.3372
16	2	5	2665.356
17	2	6	
18	2	7	2591.813
19	2	8	
20	2	9	
21	2	10	
22	2	11	2428.9407
23	3	1	4281.6094
24	3	2	4374.335
25	3	3	4372.2056
26	3	4	4087.4158
27	3	5	3673.2627
28	3	6	3159.375
29	3	7	3102.5522
30	3	8	3170.646
31	3	9	3308.4875
32	3	10	3293.6992
33	3	11	3282.0103
34	4	1	4018.4766
35	4	2	3956.0835
36	4	3	4043.0833
37	4	4	3808.5669
38	4	5	3653.7466
39	4	6	3653.6082
40	4	7	3556.5281
41	4	8	3426.0015
42	4	9	3296.6824
43	4	10	3190.3994
44	4	11	3199.624
