Point	Row	Column	110_s_Position
1	1	1	30.566265
2	1	2	30.650045
3	1	3	30.70599
4	1	4	30.731174
5	1	5	29.527798
6	1	6	
7	1	7	29.239819
8	1	8	30.575214
9	1	9	30.367283
10	1	10	
11	1	11	
12	2	1	30.543011
13	2	2	30.55092
14	2	3	30.669716
15	2	4	30.79623
16	2	5	29.268877
17	2	6	
18	2	7	29.322859
19	2	8	
20	2	9	
21	2	10	
22	2	11	30.215822
23	3	1	30.542564
24	3	2	30.582747
25	3	3	30.60614
26	3	4	30.681278
27	3	5	30.739462
28	3	6	30.714245
29	3	7	30.721361
30	3	8	30.714617
31	3	9	30.691168
32	3	10	30.616684
33	3	11	30.564314
34	4	1	30.585171
35	4	2	30.569321
36	4	3	30.564178
37	4	4	30.547497
38	4	5	30.542702
39	4	6	30.545519
40	4	7	30.552956
41	4	8	30.598358
42	4	9	30.569803
43	4	10	30.540373
44	4	11	30.514463
