Point	Row	Column	Zr_at
1	1	1	0.13756511
2	1	2	0.1299646
3	1	3	0.1298663
4	1	4	0.13280901
5	1	5	0.1294324
6	1	6	0.1177802
7	1	7	0.12985691
8	1	8	0.13136458
9	1	9	0.13334371
10	1	10	0.1281741
11	1	11	0.12153789
12	2	1	0.12895958
13	2	2	0.13346159
14	2	3	0.13243391
15	2	4	0.1311723
16	2	5	0.1333869
17	2	6	0.1312221
18	2	7	0.13111731
19	2	8	0.1306985
20	2	9	0.13102742
21	2	10	0.129638
22	2	11	0.13126761
23	3	1	0.1341555
24	3	2	0.12994841
25	3	3	0.1311924
26	3	4	0.1330364
27	3	5	0.1324145
28	3	6	0.1310522
29	3	7	0.13023251
30	3	8	0.1282628
31	3	9	0.13303912
32	3	10	0.13475139
33	3	11	0.13232499
34	4	1	0.1334402
35	4	2	0.1322878
36	4	3	0.13145101
37	4	4	0.1372079
38	4	5	0.13681009
39	4	6	0.13842849
40	4	7	0.13577092
41	4	8	0.1338459
42	4	9	0.12610862
43	4	10	0.1361451
44	4	11	0.12950182
