Point	Row	Column	MaxInt_111
1	1	1	1079.1371
2	1	2	998.92401
3	1	3	1031.3646
4	1	4	1136.3192
5	1	5	
6	1	6	
7	1	7	
8	1	8	367.73694
9	1	9	
10	1	10	
11	1	11	
12	2	1	1274.2379
13	2	2	1443.6842
14	2	3	1230.9305
15	2	4	1291.6654
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	1267.3804
24	3	2	1178.2576
25	3	3	1157.6316
26	3	4	1365.4326
27	3	5	1221.5166
28	3	6	805.99774
29	3	7	748.39435
30	3	8	896.92487
31	3	9	951.21997
32	3	10	769.73212
33	3	11	619.13818
34	4	1	761.7608
35	4	2	883.66022
36	4	3	832.85352
37	4	4	982.50562
38	4	5	949.78748
39	4	6	881.27344
40	4	7	763.17615
41	4	8	713.91711
42	4	9	657.43719
43	4	10	564.0387
44	4	11	501.58078
