Point	Row	Column	a_Ang
1	1	1	4.1335287
2	1	2	4.1176043
3	1	3	4.1072392
4	1	4	4.1002069
5	1	5	
6	1	6	
7	1	7	
8	1	8	4.0949631
9	1	9	
10	1	10	
11	1	11	
12	2	1	4.1368895
13	2	2	4.1350012
14	2	3	4.1159549
15	2	4	4.0920162
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	4.136827
24	3	2	4.1301665
25	3	3	4.1262341
26	3	4	4.1132102
27	3	5	4.0975423
28	3	6	4.0915837
29	3	7	4.0914178
30	3	8	4.0959396
31	3	9	4.106205
32	3	10	4.1185956
33	3	11	4.1288939
34	4	1	4.1312795
35	4	2	4.1330442
36	4	3	4.1341567
37	4	4	4.1353526
38	4	5	4.1354361
39	4	6	4.1358037
40	4	7	4.1337175
41	4	8	4.1249757
42	4	9	4.129416
43	4	10	4.1356115
44	4	11	4.1407995
