Point	Row	Column	PeakArea_110
1	1	1	10.354988
2	1	2	10.201019
3	1	3	9.3469267
4	1	4	8.3476572
5	1	5	
6	1	6	
7	1	7	
8	1	8	3.1087713
9	1	9	
10	1	10	
11	1	11	
12	2	1	9.5234613
13	2	2	9.9289761
14	2	3	8.5174055
15	2	4	7.3831525
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	9.4592876
24	3	2	9.594079
25	3	3	9.1421947
26	3	4	8.4073153
27	3	5	6.9023056
28	3	6	4.8544612
29	3	7	5.4429436
30	3	8	6.0702162
31	3	9	8.3434954
32	3	10	8.9804239
33	3	11	10.209213
34	4	1	11.793268
35	4	2	10.951475
36	4	3	11.481091
37	4	4	10.377726
38	4	5	9.8896112
39	4	6	9.802742
40	4	7	9.3894167
41	4	8	10.21602
42	4	9	10.044811
43	4	10	10.251368
44	4	11	12.33701
