Point	Row	Column	d_um
1	1	1	0.19695
2	1	2	0.20020001
3	1	3	0.20135
4	1	4	0.19834
5	1	5	0.18923999
6	1	6	0.17766
7	1	7	0.16565999
8	1	8	0.15104
9	1	9	0.13564999
10	1	10	0.12089
11	1	11	0.10642
12	2	1	0.25143
13	2	2	0.26115999
14	2	3	0.26323
15	2	4	0.25999001
16	2	5	0.25116
17	2	6	0.23578
18	2	7	0.21690001
19	2	8	0.19566999
20	2	9	0.17422
21	2	10	0.15270001
22	2	11	0.13386001
23	3	1	0.2397
24	3	2	0.2489
25	3	3	0.25536999
26	3	4	0.25261
27	3	5	0.24384999
28	3	6	0.23319
29	3	7	0.21569
30	3	8	0.1964
31	3	9	0.1771
32	3	10	0.15674999
33	3	11	0.13767999
34	4	1	0.17372
35	4	2	0.17985
36	4	3	0.18430001
37	4	4	0.18605
38	4	5	0.18252
39	4	6	0.17562
40	4	7	0.16725001
41	4	8	0.15401
42	4	9	0.14131001
43	4	10	0.12847
44	4	11	0.11462
