Point	Row	Column	Y_at
1	1	1	0.057822499
2	1	2	0.0562617
3	1	3	0.056745701
4	1	4	0.057745606
5	1	5	0.055715401
6	1	6	0.056745801
7	1	7	0.053907104
8	1	8	0.050433096
9	1	9	0.047573105
10	1	10	0.050001901
11	1	11	0.038532797
12	2	1	0.064071894
13	2	2	0.064582199
14	2	3	0.061109301
15	2	4	0.063965797
16	2	5	0.062323902
17	2	6	0.063210398
18	2	7	0.059754707
19	2	8	0.058214501
20	2	9	0.056201406
21	2	10	0.0537333
22	2	11	0.0441605
23	3	1	0.062614702
24	3	2	0.063630901
25	3	3	0.064438701
26	3	4	0.064213097
27	3	5	0.062087301
28	3	6	0.063703299
29	3	7	0.059793405
30	3	8	0.059039202
31	3	9	0.054987304
32	3	10	0.053590901
33	3	11	0.049082901
34	4	1	0.057131499
35	4	2	0.056433201
36	4	3	0.059210606
37	4	4	0.057792
38	4	5	0.060028601
39	4	6	0.051384799
40	4	7	0.056495205
41	4	8	0.051072702
42	4	9	0.052544005
43	4	10	0.050557099
44	4	11	0.047031306
