Point	Row	Column	_s_Position
1	1	1	0.48216823
2	1	2	0.48519433
3	1	3	0.48706311
4	1	4	0.48821491
5	1	5	0.48910561
6	1	6	0.4919526
7	1	7	0.4925417
8	1	8	0.49428028
9	1	9	0.49347624
10	1	10	0.4904888
11	1	11	0.47975698
12	2	1	0.48215508
13	2	2	0.48423982
14	2	3	0.48719046
15	2	4	0.48908132
16	2	5	0.4915275
17	2	6	0.49276432
18	2	7	0.49384284
19	2	8	0.49450684
20	2	9	0.49503919
21	2	10	0.49286264
22	2	11	0.48686728
23	3	1	0.48212773
24	3	2	0.48648137
25	3	3	0.48892105
26	3	4	0.49037409
27	3	5	0.49181145
28	3	6	0.49379104
29	3	7	0.4942078
30	3	8	0.49505198
31	3	9	0.49558413
32	3	10	0.4920204
33	3	11	0.48720729
34	4	1	0.483623
35	4	2	0.48608503
36	4	3	0.48756775
37	4	4	0.48888218
38	4	5	0.49135596
39	4	6	0.49337429
40	4	7	0.49445614
41	4	8	0.4944233
42	4	9	0.49449909
43	4	10	0.49088058
44	4	11	0.48412475
