Point	Row	Column	110_s_Position
1	1	1	0.61772478
2	1	2	0.6320582
3	1	3	0.65918398
4	1	4	0.67943633
5	1	5	0.69634199
6	1	6	0.72403407
7	1	7	0.74023581
8	1	8	0.75974321
9	1	9	0.77190447
10	1	10	0.78597307
11	1	11	0.79299331
12	2	1	0.61337847
13	2	2	0.63355362
14	2	3	0.65983403
15	2	4	0.68129319
16	2	5	0.70529449
17	2	6	0.72929138
18	2	7	0.74989587
19	2	8	0.76922059
20	2	9	0.7866261
21	2	10	0.79634488
22	2	11	0.80727506
23	3	1	0.62296855
24	3	2	0.65095836
25	3	3	0.67221606
26	3	4	0.69367266
27	3	5	0.71585393
28	3	6	0.74044698
29	3	7	0.75939274
30	3	8	0.77573061
31	3	9	0.79286981
32	3	10	0.80470973
33	3	11	0.8083182
34	4	1	0.64022446
35	4	2	0.66656119
36	4	3	0.68977368
37	4	4	0.70622182
38	4	5	0.72334319
39	4	6	0.7427882
40	4	7	0.75864947
41	4	8	0.77748513
42	4	9	0.78763199
43	4	10	0.80211288
44	4	11	0.810462
