Point	Row	Column	MaxInt_110
1	1	1	2797.5098
2	1	2	2967.8328
3	1	3	3006.7568
4	1	4	3061.0808
5	1	5	3171.0798
6	1	6	2981.5815
7	1	7	3064.1426
8	1	8	2940.4392
9	1	9	2826.04
10	1	10	2683.5217
11	1	11	2542.4431
12	2	1	3286.5381
13	2	2	3392.3796
14	2	3	3482.0488
15	2	4	3688.6365
16	2	5	3858.1101
17	2	6	4024.7375
18	2	7	4222.0649
19	2	8	4172.4053
20	2	9	4125.6763
21	2	10	3779.1511
22	2	11	3544.4004
23	3	1	2957.6299
24	3	2	3235.5874
25	3	3	3433.2766
26	3	4	3566.0779
27	3	5	3661.8154
28	3	6	3889.165
29	3	7	3973.4795
30	3	8	3937.1814
31	3	9	4086.2705
32	3	10	3996.1453
33	3	11	3757.2615
34	4	1	2195.615
35	4	2	2341.7864
36	4	3	2577.3503
37	4	4	2693.5386
38	4	5	2814.2383
39	4	6	3022.7542
40	4	7	3227.6365
41	4	8	3214.8872
42	4	9	3206.291
43	4	10	2945.0632
44	4	11	2646.3154
