Point	Row	Column	110_s_MaxIntensity
1	1	1	0.62459797
2	1	2	0.67832381
3	1	3	0.72863376
4	1	4	0.7734322
5	1	5	0.81056517
6	1	6	0.83799738
7	1	7	0.85401636
8	1	8	0.8574391
9	1	9	0.84778047
10	1	10	0.82534498
11	1	11	0.79121929
12	2	1	0.72165811
13	2	2	0.78576624
14	2	3	0.84594244
15	2	4	0.89962947
16	2	5	0.94417912
17	2	6	0.97707093
18	2	7	0.99617118
19	2	8	1
20	2	9	0.98795158
21	2	10	0.96041727
22	2	11	0.91877675
23	3	1	0.71778464
24	3	2	0.78031635
25	3	3	0.83873427
26	3	4	0.89056653
27	3	5	0.933276
28	3	6	0.96446854
29	3	7	0.98213613
30	3	8	0.98490649
31	3	9	0.97224784
32	3	10	0.94458222
33	3	11	0.9032734
34	4	1	0.61492759
35	4	2	0.66495323
36	4	3	0.71119475
37	4	4	0.7516849
38	4	5	0.7845847
39	4	6	0.80811578
40	4	7	0.82084131
41	4	8	0.82181424
42	4	9	0.81071275
43	4	10	0.78791124
44	4	11	0.75446719
