Point	Row	Column	110_s_Area
1	1	1	0.022845
2	1	2	0.019287201
3	1	3	0.0175086
4	1	4	0.016400998
5	1	5	0.0155104
6	1	6	0.011843801
7	1	7	0.011209
8	1	8	0.0087916004
9	1	9	0.010204601
10	1	10	0.015241002
11	1	11	0.033459798
12	2	1	0.022701602
13	2	2	0.0206198
14	2	3	0.0173488
15	2	4	0.0152098
16	2	5	0.012157201
17	2	6	0.0107088
18	2	7	0.0093496013
19	2	8	0.0085447999
20	2	9	0.007882799
21	2	10	0.011532201
22	2	11	0.021775402
23	3	1	0.023093197
24	3	2	0.018089198
25	3	3	0.015232402
26	3	4	0.013616601
27	3	5	0.011918799
28	3	6	0.0093104001
29	3	7	0.0089001991
30	3	8	0.0077534001
31	3	9	0.0070647998
32	3	10	0.013050798
33	3	11	0.021224201
34	4	1	0.021680003
35	4	2	0.019081401
36	4	3	0.017588202
37	4	4	0.016060401
38	4	5	0.0127252
39	4	6	0.0099751996
40	4	7	0.008506001
41	4	8	0.0087693995
42	4	9	0.0087617999
43	4	10	0.014901401
44	4	11	0.0265764
