Point	Row	Column	_s_Area
1	1	1	0.3202849
2	1	2	0.32567269
3	1	3	0.3383463
4	1	4	0.34791866
5	1	5	0.35592619
6	1	6	0.36793894
7	1	7	0.37572241
8	1	8	0.38426739
9	1	9	0.39105454
10	1	10	0.40060705
11	1	11	0.41322654
12	2	1	0.31804004
13	2	2	0.32708669
14	2	3	0.3385914
15	2	4	0.34825149
16	2	5	0.35872585
17	2	6	0.37000009
18	2	7	0.37962273
19	2	8	0.3888827
20	2	9	0.39725447
21	2	10	0.40393853
22	2	11	0.41452524
23	3	1	0.32303086
24	3	2	0.33452377
25	3	3	0.34372422
26	3	4	0.35364464
27	3	5	0.36388636
28	3	6	0.3748787
29	3	7	0.38414645
30	3	8	0.39174199
31	3	9	0.39996731
32	3	10	0.40888026
33	3	11	0.4147712
34	4	1	0.33095223
35	4	2	0.3428213
36	4	3	0.35368094
37	4	4	0.36114109
38	4	5	0.36803421
39	4	6	0.3763817
40	4	7	0.38357773
41	4	8	0.39312726
42	4	9	0.39819691
43	4	10	0.40850714
44	4	11	0.4185192
