Point	Row	Column	Y_at
1	1	1	0.0483067
2	1	2	0.049682099
3	1	3	0.0415411
4	1	4	0.038786996
5	1	5	0.0358762
6	1	6	0.029868403
7	1	7	0.0266135
8	1	8	0.022907101
9	1	9	0.021328002
10	1	10	0.018494202
11	1	11	0.016250798
12	2	1	0.050672904
13	2	2	0.048828099
14	2	3	0.044183802
15	2	4	0.0408311
16	2	5	0.037900504
17	2	6	0.0323098
18	2	7	0.030087803
19	2	8	0.0237037
20	2	9	0.020576198
21	2	10	0.020059401
22	2	11	0.015131102
23	3	1	0.049920995
24	3	2	0.046923596
25	3	3	0.042322505
26	3	4	0.039512105
27	3	5	0.033659898
28	3	6	0.031289101
29	3	7	0.029028198
30	3	8	0.0248756
31	3	9	0.0196047
32	3	10	0.015603098
33	3	11	0.0168305
34	4	1	0.047134306
35	4	2	0.040852599
36	4	3	0.037197802
37	4	4	0.034283102
38	4	5	0.033046499
39	4	6	0.027936799
40	4	7	0.025811203
41	4	8	0.023324497
42	4	9	0.0226248
43	4	10	0.017389102
44	4	11	0.0162376
