Point	Row	Column	_s_Sigma
1	1	1	0.14638659
2	1	2	0.14715418
3	1	3	0.14549319
4	1	4	0.1438112
5	1	5	0.14780679
6	1	6	0.1428014
7	1	7	0.14019001
8	1	8	0.1317074
9	1	9	0.12979819
10	1	10	0.11706278
11	1	11	0.11674179
12	2	1	0.14653061
13	2	2	0.1454068
14	2	3	0.140551
15	2	4	0.147421
16	2	5	0.14031041
17	2	6	0.1446366
18	2	7	0.14491719
19	2	8	0.13691241
20	2	9	0.13826001
21	2	10	0.12408482
22	2	11	0.13173179
23	3	1	0.1275918
24	3	2	0.1377288
25	3	3	0.13855539
26	3	4	0.13889802
27	3	5	0.13740699
28	3	6	0.1334334
29	3	7	0.13280161
30	3	8	0.13036598
31	3	9	0.13784482
32	3	10	0.1308336
33	3	11	0.1189114
34	4	1	0.14052458
35	4	2	0.13933679
36	4	3	0.1365598
37	4	4	0.12990379
38	4	5	0.1366922
39	4	6	0.14336078
40	4	7	0.1351994
41	4	8	0.1277512
42	4	9	0.128692
43	4	10	0.1230378
44	4	11	0.1238314
