Point	Row	Column	_s_Area
1	1	1	0.33649129
2	1	2	0.33667555
3	1	3	0.3394618
4	1	4	0.33950439
5	1	5	0.33787349
6	1	6	0.34524849
7	1	7	0.34913301
8	1	8	0.3541154
9	1	9	0.35854048
10	1	10	0.36680287
11	1	11	0.38508245
12	2	1	0.33749443
13	2	2	0.33899379
14	2	3	0.3384552
15	2	4	0.3386564
16	2	5	0.34290981
17	2	6	0.34422201
18	2	7	0.34214717
19	2	8	0.3503826
20	2	9	0.35418323
21	2	10	0.36356065
22	2	11	0.378708
23	3	1	0.35444921
24	3	2	0.3511036
25	3	3	0.3518393
26	3	4	0.35040703
27	3	5	0.35335848
28	3	6	0.35675979
29	3	7	0.35434279
30	3	8	0.35631356
31	3	9	0.36621013
32	3	10	0.37400129
33	3	11	0.3948279
34	4	1	0.34652957
35	4	2	0.34585899
36	4	3	0.35053131
37	4	4	0.34916589
38	4	5	0.35461369
39	4	6	0.35413426
40	4	7	0.3575345
41	4	8	0.36235669
42	4	9	0.36418459
43	4	10	0.379998
44	4	11	0.40627021
