Point	Row	Column	Y_at
1	1	1	0.073193297
2	1	2	0.073577091
3	1	3	0.072746597
4	1	4	0.071905598
5	1	5	0.073903397
6	1	6	0.071400702
7	1	7	0.070095003
8	1	8	0.0658537
9	1	9	0.064899094
10	1	10	0.058531392
11	1	11	0.058370896
12	2	1	0.073265307
13	2	2	0.072703399
14	2	3	0.0702755
15	2	4	0.073710501
16	2	5	0.070155203
17	2	6	0.072318301
18	2	7	0.072458595
19	2	8	0.068456203
20	2	9	0.069130003
21	2	10	0.062042408
22	2	11	0.065865897
23	3	1	0.063795902
24	3	2	0.068864398
25	3	3	0.069277696
26	3	4	0.069449008
27	3	5	0.068703495
28	3	6	0.066716701
29	3	7	0.066400804
30	3	8	0.065182991
31	3	9	0.068922408
32	3	10	0.065416798
33	3	11	0.0594557
34	4	1	0.070262291
35	4	2	0.069668397
36	4	3	0.0682799
37	4	4	0.064951897
38	4	5	0.068346098
39	4	6	0.071680389
40	4	7	0.067599699
41	4	8	0.063875601
42	4	9	0.064346001
43	4	10	0.0615189
44	4	11	0.061915699
