Point	Row	Column	d_um
1	1	1	0.14707001
2	1	2	0.15119
3	1	3	0.15024
4	1	4	0.1472
5	1	5	0.14163999
6	1	6	0.12982
7	1	7	0.11891
8	1	8	0.10597
9	1	9	0.093330003
10	1	10	0.081929997
11	1	11	0.071180001
12	2	1	0.13085
13	2	2	0.13499001
14	2	3	0.13675
15	2	4	0.13387001
16	2	5	0.12931
17	2	6	0.12172
18	2	7	0.11293
19	2	8	0.10142
20	2	9	0.090680003
21	2	10	0.080229998
22	2	11	0.07062
23	3	1	0.091200002
24	3	2	0.093999997
25	3	3	0.095459998
26	3	4	0.095100001
27	3	5	0.092579998
28	3	6	0.088169999
29	3	7	0.083279997
30	3	8	0.077239998
31	3	9	0.070699997
32	3	10	0.063560002
33	3	11	0.057870001
34	4	1	0.11978
35	4	2	0.1215
36	4	3	0.11998
37	4	4	0.11607
38	4	5	0.10931
39	4	6	0.10255
40	4	7	0.093500003
41	4	8	0.084480003
42	4	9	0.07536
43	4	10	0.066699997
44	4	11	0.058649998
