Point	Row	Column	_s_MaxIntensity
1	1	1	0.0286502
2	1	2	0.032466698
3	1	3	0.0294932
4	1	4	0.035545401
5	1	5	0.034028601
6	1	6	0.024352601
7	1	7	0.0256414
8	1	8	0.0124308
9	1	9	0.019858098
10	1	10	0.021688499
11	1	11	0.050997693
12	2	1	0.037672505
13	2	2	0.032589201
14	2	3	0.032629799
15	2	4	0.029983999
16	2	5	0.022508999
17	2	6	0.029444801
18	2	7	0.023672098
19	2	8	0.0194172
20	2	9	0.024899503
21	2	10	0.024381103
22	2	11	0.0514482
23	3	1	0.024889
24	3	2	0.035404399
25	3	3	0.023240199
26	3	4	0.032060504
27	3	5	0.019204298
28	3	6	0.018536801
29	3	7	0.0151938
30	3	8	0.0097264992
31	3	9	-0.00097830012
32	3	10	0.012877
33	3	11	0.0359562
34	4	1	0.031409297
35	4	2	0.033840999
36	4	3	0.0282178
37	4	4	0.0234558
38	4	5	0.0217456
39	4	6	0.022085298
40	4	7	0.0308234
41	4	8	0.0338718
42	4	9	0.026418401
43	4	10	0.036026999
44	4	11	0.046762999
