Point	Row	Column	Zr_at
1	1	1	0.1046405
2	1	2	0.10598069
3	1	3	0.1025382
4	1	4	0.1063627
5	1	5	0.1052374
6	1	6	0.095527098
7	1	7	0.093592703
8	1	8	0.086246297
9	1	9	0.086489491
10	1	10	0.085509993
11	1	11	0.082045496
12	2	1	0.10807651
13	2	2	0.1045974
14	2	3	0.1075842
15	2	4	0.1026251
16	2	5	0.098189503
17	2	6	0.098182097
18	2	7	0.097230293
19	2	8	0.090869799
20	2	9	0.089136511
21	2	10	0.086587511
22	2	11	0.081150196
23	3	1	0.094199397
24	3	2	0.097734198
25	3	3	0.090503097
26	3	4	0.09617421
27	3	5	0.087540194
28	3	6	0.085791901
29	3	7	0.086853303
30	3	8	0.083366692
31	3	9	0.064378306
32	3	10	0.067020401
33	3	11	0.063694499
34	4	1	0.09891279
35	4	2	0.1013931
36	4	3	0.095297702
37	4	4	0.097610101
38	4	5	0.087912999
39	4	6	0.085227989
40	4	7	0.0902775
41	4	8	0.090703599
42	4	9	0.084678598
43	4	10	0.076496601
44	4	11	0.0551956
