Point	Row	Column	_s_MaxIntensity
1	1	1	0.061319895
2	1	2	0.059827752
3	1	3	0.059153043
4	1	4	0.058126178
5	1	5	0.063040629
6	1	6	0.062184472
7	1	7	0.060096409
8	1	8	0.060644731
9	1	9	0.05471845
10	1	10	0.050971229
11	1	11	0.061256584
12	2	1	0.068507724
13	2	2	0.067157164
14	2	3	0.067713171
15	2	4	0.06773784
16	2	5	0.066739798
17	2	6	0.06394019
18	2	7	0.064014778
19	2	8	0.058927912
20	2	9	0.058748089
21	2	10	0.056744158
22	2	11	0.059938889
23	3	1	0.070543908
24	3	2	0.071938798
25	3	3	0.071940124
26	3	4	0.071685523
27	3	5	0.070805669
28	3	6	0.070091844
29	3	7	0.06809701
30	3	8	0.068615668
31	3	9	0.063136511
32	3	10	0.065052919
33	3	11	0.065462828
34	4	1	0.069169082
35	4	2	0.068241298
36	4	3	0.063491367
37	4	4	0.065645374
38	4	5	0.067343563
39	4	6	0.063260309
40	4	7	0.061430108
41	4	8	0.060960334
42	4	9	0.059258435
43	4	10	0.058219973
44	4	11	0.059962999
