Point	Row	Column	Norm_d
1	1	1	0.1867061
2	1	2	0.22117716
3	1	3	0.24856977
4	1	4	0.25734511
5	1	5	0.2523514
6	1	6	0.23770969
7	1	7	0.20154174
8	1	8	0.16038011
9	1	9	0.1091341
10	1	10	0.056627557
11	1	11	0
12	2	1	0.72762531
13	2	2	0.80393678
14	2	3	0.84839523
15	2	4	0.85392225
16	2	5	0.81940269
17	2	6	0.75584215
18	2	7	0.66004074
19	2	8	0.55202174
20	2	9	0.43197906
21	2	10	0.315815
22	2	11	0.21036556
23	3	1	0.91568893
24	3	2	0.97808594
25	3	3	1
26	3	4	0.98448563
27	3	5	0.92994279
28	3	6	0.84345001
29	3	7	0.73014641
30	3	8	0.60569185
31	3	9	0.48443711
32	3	10	0.36032191
33	3	11	0.24454571
34	4	1	0.42877921
35	4	2	0.45554155
36	4	3	0.45510522
37	4	4	0.44279066
38	4	5	0.40977407
39	4	6	0.36604285
40	4	7	0.30703965
41	4	8	0.24755163
42	4	9	0.17759138
43	4	10	0.11470959
44	4	11	0.051682342
