Point	Row	Column	Zr_at
1	1	1	0.51559436
2	1	2	0.52703685
3	1	3	0.5200097
4	1	4	0.51249421
5	1	5	0.51436949
6	1	6	0.51399469
7	1	7	0.50974846
8	1	8	0.51695681
9	1	9	0.52174461
10	1	10	0.51819682
11	1	11	0.5150491
12	2	1	0.50848764
13	2	2	0.51079971
14	2	3	0.50818938
15	2	4	0.50545335
16	2	5	0.50715029
17	2	6	0.50580007
18	2	7	0.50736517
19	2	8	0.50800675
20	2	9	0.50834012
21	2	10	0.51270819
22	2	11	0.50648171
23	3	1	0.51989132
24	3	2	0.51733857
25	3	3	0.51346731
26	3	4	0.51117545
27	3	5	0.51004422
28	3	6	0.50245905
29	3	7	0.50388598
30	3	8	0.50878048
31	3	9	0.51010317
32	3	10	0.51463956
33	3	11	0.5128445
34	4	1	0.52277505
35	4	2	0.48896685
36	4	3	0.50815868
37	4	4	0.5220359
38	4	5	0.51514369
39	4	6	0.52032697
40	4	7	0.51616234
41	4	8	0.52104855
42	4	9	0.51098782
43	4	10	0.50658047
44	4	11	0.52174574
