Point	Row	Column	d_um
1	1	1	0.074019998
2	1	2	0.080569997
3	1	3	0.082630001
4	1	4	0.085110001
5	1	5	0.087540001
6	1	6	0.08969
7	1	7	0.087849997
8	1	8	0.085950002
9	1	9	0.082110003
10	1	10	0.077550001
11	1	11	0.07288
12	2	1	0.084370002
13	2	2	0.08997
14	2	3	0.096280001
15	2	4	0.10041
16	2	5	0.10361
17	2	6	0.10382
18	2	7	0.10303
19	2	8	0.10062
20	2	9	0.09561
21	2	10	0.089649998
22	2	11	0.084789999
23	3	1	0.085079998
24	3	2	0.09003
25	3	3	0.094329998
26	3	4	0.099370003
27	3	5	0.1013
28	3	6	0.10199
29	3	7	0.1024
30	3	8	0.098669998
31	3	9	0.094420001
32	3	10	0.088760003
33	3	11	0.083059996
34	4	1	0.074199997
35	4	2	0.079640001
36	4	3	0.078890003
37	4	4	0.081540003
38	4	5	0.084150001
39	4	6	0.084810004
40	4	7	0.083920002
41	4	8	0.081830002
42	4	9	0.078950003
43	4	10	0.074709997
44	4	11	0.069899999
