Point	Row	Column	PeakArea_110
1	1	1	15.834088
2	1	2	15.378821
3	1	3	9.6972303
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	15.640015
9	1	9	15.68173
10	1	10	14.838318
11	1	11	15.591894
12	2	1	15.794364
13	2	2	14.252647
14	2	3	
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	12.199289
22	2	11	14.667436
23	3	1	14.634595
24	3	2	15.539773
25	3	3	15.675675
26	3	4	16.145966
27	3	5	
28	3	6	
29	3	7	
30	3	8	11.456564
31	3	9	15.291895
32	3	10	15.134115
33	3	11	15.176943
34	4	1	13.797554
35	4	2	14.236335
36	4	3	15.048736
37	4	4	15.775448
38	4	5	15.278441
39	4	6	15.2275
40	4	7	16.281269
41	4	8	14.873204
42	4	9	15.940656
43	4	10	15.41988
44	4	11	12.908239
