Point	Row	Column	a_Ang
1	1	1	4.1863608
2	1	2	4.1895752
3	1	3	4.1972389
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	4.2012968
9	1	9	4.2032714
10	1	10	4.205904
11	1	11	4.2101321
12	2	1	4.1853962
13	2	2	4.1880674
14	2	3	4.188261
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	4.2055354
22	2	11	4.2094445
23	3	1	4.1883526
24	3	2	4.1889625
25	3	3	4.1904974
26	3	4	4.1932526
27	3	5	
28	3	6	
29	3	7	
30	3	8	4.2037163
31	3	9	4.203732
32	3	10	4.2076058
33	3	11	4.2103829
34	4	1	4.1909885
35	4	2	4.1920662
36	4	3	4.1955657
37	4	4	4.1959667
38	4	5	4.1989894
39	4	6	4.2010093
40	4	7	4.202527
41	4	8	4.2046332
42	4	9	4.2075672
43	4	10	4.2115827
44	4	11	4.2137589
