Point	Row	Column	FWHM_110
1	1	1	0.46602407
2	1	2	0.43324861
3	1	3	0.59632289
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	0.44935271
9	1	9	0.46578482
10	1	10	0.47617704
11	1	11	0.54285681
12	2	1	0.46728444
13	2	2	0.47294468
14	2	3	0.86063427
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	0.47136536
22	2	11	0.48460299
23	3	1	0.51708472
24	3	2	0.49086937
25	3	3	0.49345276
26	3	4	0.45464495
27	3	5	
28	3	6	
29	3	7	
30	3	8	0.4821367
31	3	9	0.47756526
32	3	10	0.49866
33	3	11	0.51626539
34	4	1	0.50554341
35	4	2	0.50969517
36	4	3	0.51349568
37	4	4	0.52330083
38	4	5	0.51628852
39	4	6	0.49682838
40	4	7	0.50054252
41	4	8	0.51760119
42	4	9	0.49189508
43	4	10	0.52610737
44	4	11	0.56160682
