Point	Row	Column	Norm_d
1	1	1	0
2	1	2	0.21979865
3	1	3	0.28892618
4	1	4	0.37214765
5	1	5	0.45369127
6	1	6	0.52583891
7	1	7	0.46409395
8	1	8	0.40033558
9	1	9	0.27147651
10	1	10	0.11845638
11	1	11	-0.038255032
12	2	1	0.34731543
13	2	2	0.53523493
14	2	3	0.74697989
15	2	4	0.88557047
16	2	5	0.992953
17	2	6	1
18	2	7	0.97348994
19	2	8	0.89261746
20	2	9	0.72449666
21	2	10	0.52449661
22	2	11	0.3614094
23	3	1	0.37114093
24	3	2	0.53724831
25	3	3	0.68154365
26	3	4	0.85067111
27	3	5	0.91543627
28	3	6	0.93859059
29	3	7	0.95234901
30	3	8	0.82718122
31	3	9	0.68456376
32	3	10	0.49463087
33	3	11	0.30335569
34	4	1	0.0060402686
35	4	2	0.1885906
36	4	3	0.16342282
37	4	4	0.25234899
38	4	5	0.33993289
39	4	6	0.36208054
40	4	7	0.33221477
41	4	8	0.26208055
42	4	9	0.16543624
43	4	10	0.023154363
44	4	11	-0.13825503
