Point	Row	Column	Y_at
1	1	1	0.08205273
2	1	2	0.082952999
3	1	3	0.078769222
4	1	4	0.079648256
5	1	5	0.081602693
6	1	6	0.085639149
7	1	7	0.084531069
8	1	8	0.079485558
9	1	9	0.077477142
10	1	10	0.077984884
11	1	11	0.079180874
12	2	1	0.084273778
13	2	2	0.081912026
14	2	3	0.082717672
15	2	4	0.085067518
16	2	5	0.086468987
17	2	6	0.084270358
18	2	7	0.084406659
19	2	8	0.085175321
20	2	9	0.084879786
21	2	10	0.082044885
22	2	11	0.084424995
23	3	1	0.085205749
24	3	2	0.081772499
25	3	3	0.082216315
26	3	4	0.084876023
27	3	5	0.082702771
28	3	6	0.087975755
29	3	7	0.08400923
30	3	8	0.086257122
31	3	9	0.082563274
32	3	10	0.08045876
33	3	11	0.079463989
34	4	1	0.094456896
35	4	2	0.097757362
36	4	3	0.069979772
37	4	4	0.075462185
38	4	5	0.079769552
39	4	6	0.077960446
40	4	7	0.078792714
41	4	8	0.073718391
42	4	9	0.081975847
43	4	10	0.084915303
44	4	11	0.079453602
