Point	Row	Column	MaxInt_110
1	1	1	1747.3414
2	1	2	1821.2678
3	1	3	564.44263
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	1972.1791
9	1	9	1862.0681
10	1	10	1704.5219
11	1	11	1417.5677
12	2	1	1989.8983
13	2	2	1623.6691
14	2	3	312.53464
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	1619.8298
22	2	11	1833.7133
23	3	1	1719.0593
24	3	2	1905.1018
25	3	3	2084.9048
26	3	4	2325.8599
27	3	5	
28	3	6	
29	3	7	
30	3	8	1455.907
31	3	9	2138.0315
32	3	10	1817.7102
33	3	11	1622.8069
34	4	1	1379.923
35	4	2	1433.3574
36	4	3	1545.4235
37	4	4	1667.4135
38	4	5	1616.631
39	4	6	1720.9104
40	4	7	1703.5413
41	4	8	1603.6179
42	4	9	1650.5846
43	4	10	1475.6035
44	4	11	1257.777
