FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.48093Co0.30391Fe0.1258Y0.0Zr0.5703O3,01257,11,1,11,0.2456,45.37999,44.141998,0.89000272609357,2.150006585506939,1.49000456390946,137.32742063623783,1.5600638,1.4703635000000002,0.8312066833333334,76.96073549245,0.48092852690318566,0.5704912363799288,1.4622279358178698,1.7925801052683947,1.7843829032755272,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.5403Co0.19453Fe0.27309Y0.0Zr0.53238O3,01257,12,2,1,0.37823999,5.4000001,31.643998999999997,0.8900070849984864,2.1500171154457814,1.4900118614019602,137.32809321526645,1.5735365,1.4701305,0.8401199083333333,75.28081859335,0.5402956988829115,0.5656094313658987,1.4624668459335968,1.773570470860417,1.8242109448501327,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.55485Co0.2061Fe0.27237Y0.0Zr0.52152O3,01257,13,2,2,0.39724001,9.397999800000001,31.643998999999997,0.8900059067605844,2.1500142691407373,1.4900098888463718,137.32791141315818,1.5795267000000002,1.4679090000000001,0.839056125,74.9317746195,0.5548463175906077,0.5634636671609188,1.4646781708816672,1.7758167117204129,1.8327059796795524,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.56264Co0.21734Fe0.27015Y0.0Zr0.51251O3,01257,14,2,3,0.40733001,13.39599,31.643998999999997,0.889996712422445,2.149992058099165,1.489994496078026,137.32649272678327,1.584612,1.4660095000000002,0.8380510416666667,74.6482795913,0.5626420783477172,0.561649610391973,1.466560795205737,1.777928099838421,1.8396471221928632,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.56039Co0.23224Fe0.26074Y0.0Zr0.50702O3,01257,15,2,4,0.41444001,17.393998999999997,31.643998999999997,0.8900044675929017,2.1500107924997063,1.490007479453285,137.32768934958474,1.5881020000000001,1.464441,0.8367557833333334,74.5000629868,0.5603871869867205,0.5604202170848609,1.4681443584956348,1.7806957646801462,1.8433231307994546,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.57172Co0.2499Fe0.24849Y0.0Zr0.50162O3,01257,16,2,5,0.41598001,21.391991,31.643998999999997,0.8900069153964223,2.1500167057329302,1.490011577461426,137.32806704566795,1.5917032999999998,1.4627620000000001,0.8352374250000001,74.3641123605,0.5717155577081772,0.5591537790971611,1.4698335790326316,1.7839377557362517,1.8466981274506884,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.56561Co0.26249Fe0.23172Y0.0Zr0.50579O3,01257,17,2,6,0.40944999,25.391991,31.643998999999997,0.8899984015172454,2.1499961384967166,1.489997323888422,137.32675335411096,1.5902295,1.462744,0.8342005166666666,74.54996471555,0.5656110158645558,0.5596666402662291,1.4698376055527942,1.7861380976389416,1.84207670490643,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.56455Co0.27627Fe0.2155Y0.0Zr0.50823O3,01257,18,2,7,0.39903,29.38802,31.643998999999997,0.8899930145422328,2.1499831250177532,1.4899883052448617,137.32592214386653,1.5896985,1.462421,0.833059,74.67884480264999,0.5645544310911637,0.5598501945760361,1.4701533450475297,1.7885747651065071,1.838886534824833,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.61099Co0.30912Fe0.19287Y0.0Zr0.49801O3,01257,19,2,8,0.29567999,33.386009,31.643998999999997,0.8900061718876038,2.150014909616121,1.4900103327107075,137.32795232225726,1.596451,1.4592455000000002,0.8302174750000001,74.4187186284,0.6109857629938689,0.5574904409140047,1.4733743634063774,1.7947229221002694,1.8453415330622147,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.61161Co0.3221Fe0.17201Y0.0Zr0.50589O3,01257,20,2,9,0.28101999,37.384009999999996,31.643998999999997,0.8900002838129831,2.1500006856156335,1.4900004751475784,137.3270437923433,1.59316,1.4597784999999999,0.8291840916666666,74.7375899195,0.6116098049631424,0.5586383563565387,1.4728266552875204,1.7969477346733287,1.8374561440937354,14_June_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,21.3,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
