Point	Row	Column	Co_at
1	1	1	0.0221933
2	1	2	0.020600401
3	1	3	0.020634601
4	1	4	0.02008
5	1	5	0.018181803
6	1	6	0.017629201
7	1	7	0.017834799
8	1	8	0.017743999
9	1	9	0.0153639
10	1	10	0.0149603
11	1	11	0.013804
12	2	1	0.020966999
13	2	2	0.020059898
14	2	3	0.019702798
15	2	4	0.0189454
16	2	5	0.018366398
17	2	6	0.0162741
18	2	7	0.015853202
19	2	8	0.014860298
20	2	9	0.0148562
21	2	10	0.014741503
22	2	11	0.014146203
23	3	1	0.020117201
24	3	2	0.0201685
25	3	3	0.018627899
26	3	4	0.018561402
27	3	5	0.0178535
28	3	6	0.016047202
29	3	7	0.014782601
30	3	8	0.0148577
31	3	9	0.0150217
32	3	10	0.0140243
33	3	11	0.0134224
34	4	1	0.0226939
35	4	2	0.0211762
36	4	3	0.020258199
37	4	4	0.019805901
38	4	5	0.017507801
39	4	6	0.017749198
40	4	7	0.018168498
41	4	8	0.017277701
42	4	9	0.0159893
43	4	10	0.0140576
44	4	11	0.013489999
