Point	Row	Column	a_Ang
1	1	1	4.1311359
2	1	2	4.1299219
3	1	3	4.1281953
4	1	4	4.1277661
5	1	5	4.1274652
6	1	6	4.1261525
7	1	7	4.1253147
8	1	8	4.1233215
9	1	9	4.12181
10	1	10	4.1210341
11	1	11	4.1200986
12	2	1	4.1311588
13	2	2	4.1278324
14	2	3	4.1298504
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	4.1248145
23	3	1	4.128624
24	3	2	4.1256676
25	3	3	4.1305437
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	4.1307187
35	4	2	4.1270657
36	4	3	4.1236415
37	4	4	4.1234603
38	4	5	
39	4	6	
40	4	7	
41	4	8	4.1182971
42	4	9	4.1202826
43	4	10	4.1192269
44	4	11	4.1189985
