Point	Row	Column	PeakArea_110
1	1	1	11.427453
2	1	2	11.274536
3	1	3	11.718488
4	1	4	11.39094
5	1	5	11.639765
6	1	6	11.515946
7	1	7	11.574267
8	1	8	12.079931
9	1	9	12.330099
10	1	10	12.38087
11	1	11	11.915873
12	2	1	11.06222
13	2	2	12.228183
14	2	3	7.1491909
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	12.069753
24	3	2	12.172084
25	3	3	5.0985212
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	12.961126
35	4	2	12.461946
36	4	3	12.540816
37	4	4	6.4614096
38	4	5	
39	4	6	
40	4	7	
41	4	8	5.1758661
42	4	9	11.112908
43	4	10	11.387115
44	4	11	10.991713
