Point	Row	Column	MaxInt_110
1	1	1	2388.1824
2	1	2	2534.8164
3	1	3	2602.1162
4	1	4	2714.8164
5	1	5	2751.0027
6	1	6	2686.4897
7	1	7	2583.8218
8	1	8	2658.4607
9	1	9	2502.2661
10	1	10	2443.1736
11	1	11	2194.2866
12	2	1	2757.7661
13	2	2	3514.0862
14	2	3	1947.3109
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	375.76575
23	3	1	2864.5217
24	3	2	3300.6235
25	3	3	1074.5472
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	2221.7122
35	4	2	2230.7217
36	4	3	2574.8789
37	4	4	1227.474
38	4	5	
39	4	6	
40	4	7	
41	4	8	1091.5332
42	4	9	2330.0244
43	4	10	2189.6931
44	4	11	2107.9248
