Point	Row	Column	Norm_Int110
1	1	1	34.521961
2	1	2	32.538914
3	1	3	31.167778
4	1	4	29.842541
5	1	5	28.717081
6	1	6	28.868811
7	1	7	28.304899
8	1	8	27.918245
9	1	9	27.053061
10	1	10	25.76803
11	1	11	24.513033
12	2	1	28.155495
13	2	2	25.12022
14	2	3	23.690142
15	2	4	23.136209
16	2	5	23.647346
17	2	6	24.577343
18	2	7	24.923954
19	2	8	25.192862
20	2	9	25.525782
21	2	10	24.774275
22	2	11	23.568819
23	3	1	24.982721
24	3	2	23.329105
25	3	3	23.048889
26	3	4	23.141804
27	3	5	23.359116
28	3	6	23.984913
29	3	7	24.500126
30	3	8	24.343349
31	3	9	24.443903
32	3	10	24.007469
33	3	11	22.556864
34	4	1	27.722807
35	4	2	27.666203
36	4	3	28.106749
37	4	4	27.625027
38	4	5	27.285492
39	4	6	26.528097
40	4	7	26.386511
41	4	8	27.002748
42	4	9	27.217093
43	4	10	27.239702
44	4	11	27.038963
