Point	Row	Column	a_Ang
1	1	1	4.1758275
2	1	2	4.1810265
3	1	3	4.183435
4	1	4	4.1837192
5	1	5	4.1829305
6	1	6	4.1824431
7	1	7	4.1813412
8	1	8	4.1803274
9	1	9	4.1781549
10	1	10	4.1767364
11	1	11	4.1757679
12	2	1	4.1807361
13	2	2	4.1844544
14	2	3	4.1869016
15	2	4	4.1880078
16	2	5	4.1883602
17	2	6	4.1882987
18	2	7	4.1874332
19	2	8	4.1859512
20	2	9	4.1829686
21	2	10	4.1813202
22	2	11	4.1792502
23	3	1	4.1886878
24	3	2	4.1898742
25	3	3	4.1899838
26	3	4	4.1902175
27	3	5	4.189961
28	3	6	4.18819
29	3	7	4.1866388
30	3	8	4.184289
31	3	9	4.1819048
32	3	10	4.1795182
33	3	11	4.176795
34	4	1	4.1876926
35	4	2	4.1882954
36	4	3	4.1880398
37	4	4	4.1872473
38	4	5	4.1855993
39	4	6	4.1836948
40	4	7	4.181242
41	4	8	4.1789303
42	4	9	4.1751447
43	4	10	4.1721354
44	4	11	4.1705246
