Point	Row	Column	Ratio_200_110
1	1	1	0.058737811
2	1	2	0.078890033
3	1	3	0.097191863
4	1	4	0.12053279
5	1	5	0.14495422
6	1	6	0.14813319
7	1	7	0.15547404
8	1	8	0.14377014
9	1	9	0.14715648
10	1	10	0.15199058
11	1	11	0.16697004
12	2	1	
13	2	2	0.047887579
14	2	3	0.069575883
15	2	4	0.082048826
16	2	5	0.09672977
17	2	6	0.11420029
18	2	7	0.13483016
19	2	8	0.15475422
20	2	9	0.18544012
21	2	10	0.21659346
22	2	11	0.25272888
23	3	1	0.075455517
24	3	2	0.078353368
25	3	3	0.082332872
26	3	4	0.10102657
27	3	5	0.10502312
28	3	6	0.12250862
29	3	7	0.13271913
30	3	8	0.16094276
31	3	9	0.19753402
32	3	10	0.24074338
33	3	11	0.28358573
34	4	1	0.17328173
35	4	2	0.16587479
36	4	3	0.15924369
37	4	4	0.16168299
38	4	5	0.18221419
39	4	6	0.18413965
40	4	7	0.19372201
41	4	8	0.19416244
42	4	9	0.16678181
43	4	10	0.15915532
44	4	11	0.15156676
