Point	Row	Column	PeakArea_110
1	1	1	19.486061
2	1	2	18.715931
3	1	3	18.291681
4	1	4	17.457067
5	1	5	17.143692
6	1	6	16.723509
7	1	7	16.717817
8	1	8	16.132076
9	1	9	16.359339
10	1	10	15.678136
11	1	11	15.232942
12	2	1	16.447493
13	2	2	15.419609
14	2	3	14.928371
15	2	4	14.624312
16	2	5	14.710917
17	2	6	15.050913
18	2	7	14.653308
19	2	8	14.823658
20	2	9	14.887704
21	2	10	14.603046
22	2	11	14.031355
23	3	1	15.140213
24	3	2	15.149717
25	3	3	14.705709
26	3	4	14.905759
27	3	5	14.762483
28	3	6	14.714488
29	3	7	14.953586
30	3	8	14.719524
31	3	9	14.378253
32	3	10	14.221687
33	3	11	13.59413
34	4	1	16.406786
35	4	2	16.77322
36	4	3	16.878914
37	4	4	16.530228
38	4	5	16.553041
39	4	6	16.091413
40	4	7	15.487165
41	4	8	15.765098
42	4	9	16.319252
43	4	10	16.259026
44	4	11	15.727874
