Point	Row	Column	_s_MaxIntensity
1	1	1	0.1485149
2	1	2	0.14648359
3	1	3	0.14910682
4	1	4	0.14236552
5	1	5	0.13555504
6	1	6	0.13778664
7	1	7	0.12946385
8	1	8	0.12222365
9	1	9	0.10934146
10	1	10	0.10055058
11	1	11	0.082555443
12	2	1	0.19143705
13	2	2	0.19297558
14	2	3	0.19399533
15	2	4	0.19668348
16	2	5	0.19313267
17	2	6	0.18991411
18	2	7	0.17776127
19	2	8	0.17412268
20	2	9	0.17179385
21	2	10	0.15489104
22	2	11	0.14655799
23	3	1	0.18604003
24	3	2	0.19209853
25	3	3	0.19208135
26	3	4	0.19528349
27	3	5	0.19575633
28	3	6	0.19544643
29	3	7	0.18772779
30	3	8	0.18880065
31	3	9	0.1835202
32	3	10	0.18379655
33	3	11	0.17020372
34	4	1	0.1380706
35	4	2	0.1393525
36	4	3	0.13814847
37	4	4	0.14100769
38	4	5	0.14649193
39	4	6	0.14987731
40	4	7	0.15749337
41	4	8	0.1625706
42	4	9	0.16465469
43	4	10	0.16261663
44	4	11	0.16639823
