Point	Row	Column	Co_at
1	1	1	0.028354781
2	1	2	0.028819695
3	1	3	0.028956072
4	1	4	0.029804301
5	1	5	0.030834567
6	1	6	0.031044189
7	1	7	0.030514499
8	1	8	0.032959796
9	1	9	0.032162175
10	1	10	0.032797329
11	1	11	0.0345571
12	2	1	0.020906286
13	2	2	0.021473348
14	2	3	0.021852924
15	2	4	0.021688448
16	2	5	0.022134222
17	2	6	0.02288207
18	2	7	0.022941658
19	2	8	0.022752427
20	2	9	0.02338412
21	2	10	0.024458222
22	2	11	0.026487038
23	3	1	0.022392072
24	3	2	0.022540199
25	3	3	0.022582151
26	3	4	0.022636855
27	3	5	0.021907115
28	3	6	0.022243716
29	3	7	0.022411074
30	3	8	0.022917528
31	3	9	0.022952901
32	3	10	0.022713911
33	3	11	0.023853665
34	4	1	0.028519267
35	4	2	0.027800292
36	4	3	0.027541228
37	4	4	0.026707863
38	4	5	0.026296774
39	4	6	0.025148155
40	4	7	0.025481384
41	4	8	0.026280472
42	4	9	0.026421869
43	4	10	0.023013044
44	4	11	0.023394372
