Point	Row	Column	Norm_d
1	1	1	0.66230971
2	1	2	0.69751209
3	1	3	0.69528407
4	1	4	0.66869664
5	1	5	0.61745268
6	1	6	0.5394727
7	1	7	0.44381732
8	1	8	0.34162644
9	1	9	0.22755292
10	1	10	0.11214259
11	1	11	0
12	2	1	0.94318604
13	2	2	0.9873004
14	2	3	1
15	2	4	0.98202747
16	2	5	0.91221684
17	2	6	0.8236168
18	2	7	0.71696991
19	2	8	0.58039361
20	2	9	0.45272928
21	2	10	0.30315635
22	2	11	0.16984776
23	3	1	0.80950612
24	3	2	0.85183811
25	3	3	0.87189007
26	3	4	0.85020423
27	3	5	0.80482733
28	3	6	0.72937244
29	3	7	0.63037503
30	3	8	0.51229113
31	3	9	0.39145935
32	3	10	0.2591905
33	3	11	0.1417007
34	4	1	0.3868548
35	4	2	0.4268845
36	4	3	0.44723356
37	4	4	0.45599702
38	4	5	0.43921277
39	4	6	0.39650947
40	4	7	0.34036392
41	4	8	0.2656517
42	4	9	0.18536948
43	4	10	0.097734869
44	4	11	0.0026735982
