Point	Row	Column	_s_FWHM
1	1	1	1.0918053
2	1	2	1.0888442
3	1	3	1.0911946
4	1	4	1.0827569
5	1	5	1.0738859
6	1	6	1.0756983
7	1	7	1.0684348
8	1	8	1.0563041
9	1	9	1.0450171
10	1	10	1.034956
11	1	11	1.0134412
12	2	1	1.1496245
13	2	2	1.1500289
14	2	3	1.1502895
15	2	4	1.1533066
16	2	5	1.1488643
17	2	6	1.14415
18	2	7	1.1318779
19	2	8	1.1286179
20	2	9	1.1250256
21	2	10	1.1059746
22	2	11	1.0935839
23	3	1	1.1412559
24	3	2	1.1470181
25	3	3	1.1469171
26	3	4	1.1500098
27	3	5	1.1519421
28	3	6	1.150959
29	3	7	1.1429056
30	3	8	1.1429656
31	3	9	1.1376144
32	3	10	1.1383687
33	3	11	1.1224964
34	4	1	1.081032
35	4	2	1.0837519
36	4	3	1.083066
37	4	4	1.087592
38	4	5	1.0938984
39	4	6	1.099581
40	4	7	1.1065305
41	4	8	1.1100097
42	4	9	1.1118109
43	4	10	1.1165905
44	4	11	1.1196095
