Point	Row	Column	FWHM_110
1	1	1	0.44959173
2	1	2	0.46035814
3	1	3	0.46326986
4	1	4	0.45854211
5	1	5	0.46339217
6	1	6	0.45792341
7	1	7	0.46640658
8	1	8	0.45993611
9	1	9	0.48058957
10	1	10	0.51108801
11	1	11	0.52345651
12	2	1	0.43331456
13	2	2	0.4662019
14	2	3	0.47786409
15	2	4	0.48692611
16	2	5	0.47974336
17	2	6	0.46494684
18	2	7	0.45762998
19	2	8	0.45526513
20	2	9	0.4523446
21	2	10	0.47202176
22	2	11	0.48624393
23	3	1	0.47103617
24	3	2	0.49343473
25	3	3	0.49380869
26	3	4	0.48855641
27	3	5	0.48226452
28	3	6	0.4725835
29	3	7	0.46108544
30	3	8	0.46527037
31	3	9	0.45854318
32	3	10	0.46570277
33	3	11	0.48133728
34	4	1	0.46894971
35	4	2	0.46442389
36	4	3	0.46247497
37	4	4	0.46008581
38	4	5	0.46064085
39	4	6	0.47127476
40	4	7	0.46875393
41	4	8	0.45476174
42	4	9	0.45455524
43	4	10	0.47138536
44	4	11	0.46931422
