Point	Row	Column	MaxInt_111
1	1	1	645.92517
2	1	2	585.03198
3	1	3	556.15979
4	1	4	496.55096
5	1	5	429.10483
6	1	6	410.19455
7	1	7	336.86557
8	1	8	371.17157
9	1	9	331.02042
10	1	10	333.30316
11	1	11	279.22592
12	2	1	953.63196
13	2	2	895.77557
14	2	3	816.00287
15	2	4	770.80066
16	2	5	713.07294
17	2	6	586.5733
18	2	7	532.03436
19	2	8	432.42831
20	2	9	377.26321
21	2	10	275.80911
22	2	11	260.71136
23	3	1	703.18231
24	3	2	690.71985
25	3	3	708.51398
26	3	4	675.43878
27	3	5	595.66333
28	3	6	562.58148
29	3	7	460.62823
30	3	8	408.9364
31	3	9	330.79086
32	3	10	322.94482
33	3	11	260.47543
34	4	1	298.00793
35	4	2	324.22745
36	4	3	362.37601
37	4	4	323.8269
38	4	5	349.45041
39	4	6	319.17911
40	4	7	249.24362
41	4	8	268.74783
42	4	9	260.42593
43	4	10	250.93658
44	4	11	260.61526
