Point	Row	Column	FWHM_110
1	1	1	0.66210955
2	1	2	0.65860075
3	1	3	0.64870042
4	1	4	0.65014738
5	1	5	0.64763695
6	1	6	0.64184523
7	1	7	0.65206796
8	1	8	0.6780501
9	1	9	0.66201293
10	1	10	0.62627059
11	1	11	0.603971
12	2	1	0.63804454
13	2	2	0.6547038
14	2	3	0.71354192
15	2	4	0.74830562
16	2	5	0.74414074
17	2	6	0.61644644
18	2	7	0.5876267
19	2	8	0.59095085
20	2	9	0.63758081
21	2	10	0.65515268
22	2	11	0.63320458
23	3	1	0.64059514
24	3	2	0.69106275
25	3	3	0.67761898
26	3	4	0.57488596
27	3	5	0.5725221
28	3	6	0.57374394
29	3	7	0.57938451
30	3	8	0.56142336
31	3	9	0.56856579
32	3	10	0.57071912
33	3	11	0.60323107
34	4	1	0.65798032
35	4	2	0.65931314
36	4	3	0.67322755
37	4	4	0.66151243
38	4	5	0.6798209
39	4	6	0.66424382
40	4	7	0.64127034
41	4	8	0.58900136
42	4	9	0.5515216
43	4	10	0.53375345
44	4	11	0.53173745
