Point	Row	Column	MaxInt_111
1	1	1	738.99573
2	1	2	871.84216
3	1	3	925.44409
4	1	4	966.60193
5	1	5	1043.6565
6	1	6	1016.2438
7	1	7	964.3374
8	1	8	946.19604
9	1	9	904.65857
10	1	10	891.45117
11	1	11	988.37872
12	2	1	951.28192
13	2	2	1117.2335
14	2	3	983.18195
15	2	4	645.3183
16	2	5	372.28253
17	2	6	270.82574
18	2	7	
19	2	8	256.62628
20	2	9	344.67706
21	2	10	548.42371
22	2	11	863.92596
23	3	1	923.25604
24	3	2	824.50171
25	3	3	360.29636
26	3	4	296.8988
27	3	5	
28	3	6	252.6301
29	3	7	291.02097
30	3	8	
31	3	9	254.7383
32	3	10	343.04758
33	3	11	304.99414
34	4	1	492.37051
35	4	2	411.06689
36	4	3	412.578
37	4	4	427.50519
38	4	5	408.09662
39	4	6	482.0079
40	4	7	611.40918
41	4	8	761.38373
42	4	9	875.2735
43	4	10	920.289
44	4	11	919.75128
