FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01128,1,1,1,4.1213031,0.66210955,0.57996172,0.66650927,6185.5884,738.99573,398.04971,30.641615,37.871143,44.004642,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,2,1,2,4.1207404,0.65860075,0.58954412,0.62602049,6333.3237,871.8421599999999,433.14690999999993,30.645903000000004,37.857334,44.031475,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,3,1,3,4.1201815999999996,0.64870042,0.56611842,0.62232095,6475.375,925.4440900000001,468.17242000000005,30.650161999999998,37.8517,44.000523,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,4,1,4,4.1196599,0.65014738,0.54887599,0.59796292,6580.4487,966.60193,509.88724,30.654139,37.880928000000004,44.022804,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,5,1,5,4.1203785,0.64763695,0.52423662,0.60604125,6603.1826,1043.6565,548.83136,30.648663,37.87011,44.025383000000005,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,6,1,6,4.120838200000001,0.64184523,0.51332259,0.61464447,6678.8628,1016.2438,556.9010599999999,30.645159000000003,37.869171,44.036648,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,7,1,7,4.1200862,0.65206796,0.54429162,0.63934964,6532.6489,964.3374,579.88922,30.650888000000002,37.871181,44.060741,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,8,1,8,4.1193252000000005,0.6780501,0.57921147,0.58874404,6257.9561,946.19604,591.38422,30.656689,37.893898,44.089615,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,9,1,9,4.1206097999999995,0.66201293,0.57748598,0.6059701999999999,6334.5708,904.6585699999999,609.32642,30.646896,37.873965999999996,44.054775,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01128,10,1,10,4.1240783,0.62627059,0.54821551,0.6037153000000001,6495.8784,891.4511699999999,521.9028900000001,30.620493,37.827026000000004,44.003429,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,7_June_2016,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,600.0,19.7,850,N,345.0,10,50.0,ITO/EXG,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
