Point	Row	Column	Pos_110
1	1	1	30.641615
2	1	2	30.645903
3	1	3	30.650162
4	1	4	30.654139
5	1	5	30.648663
6	1	6	30.645159
7	1	7	30.650888
8	1	8	30.656689
9	1	9	30.646896
10	1	10	30.620493
11	1	11	30.60869
12	2	1	30.649128
13	2	2	30.658249
14	2	3	30.690908
15	2	4	30.655443
16	2	5	30.586624
17	2	6	30.530142
18	2	7	30.512543
19	2	8	30.510586
20	2	9	30.539808
21	2	10	30.610559
22	2	11	30.623274
23	3	1	30.639122
24	3	2	30.661751
25	3	3	30.561073
26	3	4	30.50964
27	3	5	30.500254
28	3	6	30.506428
29	3	7	30.509056
30	3	8	30.50675
31	3	9	30.509111
32	3	10	30.506405
33	3	11	30.531961
34	4	1	30.57502
35	4	2	30.564285
36	4	3	30.585093
37	4	4	30.583439
38	4	5	30.58639
39	4	6	30.598713
40	4	7	30.606951
41	4	8	30.601311
42	4	9	30.582787
43	4	10	30.556673
44	4	11	30.539913
