Point	Row	Column	Pos_111
1	1	1	37.871143
2	1	2	37.857334
3	1	3	37.8517
4	1	4	37.880928
5	1	5	37.87011
6	1	6	37.869171
7	1	7	37.871181
8	1	8	37.893898
9	1	9	37.873966
10	1	10	37.827026
11	1	11	37.792355
12	2	1	37.871735
13	2	2	37.881138
14	2	3	37.933079
15	2	4	37.945118
16	2	5	37.900448
17	2	6	37.78791
18	2	7	
19	2	8	37.689808
20	2	9	37.633133
21	2	10	37.810867
22	2	11	37.820713
23	3	1	37.839096
24	3	2	37.891548
25	3	3	37.811466
26	3	4	37.610935
27	3	5	
28	3	6	37.648888
29	3	7	37.665779
30	3	8	
31	3	9	37.677345
32	3	10	37.61256
33	3	11	37.682163
34	4	1	37.791546
35	4	2	37.777897
36	4	3	37.822887
37	4	4	37.826893
38	4	5	37.773285
39	4	6	37.773891
40	4	7	37.79607
41	4	8	37.758961
42	4	9	37.730701
43	4	10	37.682018
44	4	11	37.640629
