Point	Row	Column	FWHM_110
1	1	1	0.52787256
2	1	2	0.60335672
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	0.50626284
11	1	11	0.51030558
12	2	1	0.50845236
13	2	2	0.50978178
14	2	3	0.51752162
15	2	4	0.50186503
16	2	5	0.49906591
17	2	6	0.49999693
18	2	7	0.50255072
19	2	8	0.51394349
20	2	9	0.51343334
21	2	10	0.51873571
22	2	11	0.51959026
23	3	1	0.5078966
24	3	2	0.52010715
25	3	3	0.51982725
26	3	4	0.51724803
27	3	5	0.51095313
28	3	6	0.50615203
29	3	7	0.52405983
30	3	8	0.51872641
31	3	9	0.51855403
32	3	10	0.51025599
33	3	11	0.5048998
34	4	1	0.51084036
35	4	2	0.5151971
36	4	3	0.51645368
37	4	4	0.51802957
38	4	5	0.51677394
39	4	6	0.50728226
40	4	7	0.5168733
41	4	8	0.51436168
42	4	9	0.50048751
43	4	10	0.51050705
44	4	11	0.5155158
