Point	Row	Column	MaxInt_200
1	1	1	515.08856
2	1	2	671.64996
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	400.40213
11	1	11	373.62939
12	2	1	557.03455
13	2	2	517.8949
14	2	3	475.75568
15	2	4	613.32513
16	2	5	698.59308
17	2	6	736.23254
18	2	7	550.33258
19	2	8	416.39627
20	2	9	437.98343
21	2	10	417.76105
22	2	11	379.53546
23	3	1	389.16599
24	3	2	376.28464
25	3	3	401.22626
26	3	4	406.21875
27	3	5	421.33487
28	3	6	419.1557
29	3	7	390.25687
30	3	8	363.03568
31	3	9	333.60754
32	3	10	336.6561
33	3	11	347.15396
34	4	1	306.05573
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	304.13846
40	4	7	322.10626
41	4	8	
42	4	9	
43	4	10	
44	4	11	303.57416
