Point	Row	Column	Frac_110
1	1	1	0.80980498
2	1	2	0.81784546
3	1	3	0.8191632
4	1	4	0.81220561
5	1	5	0.82680261
6	1	6	0.83565557
7	1	7	0.73180783
8	1	8	0.83898127
9	1	9	0.86114782
10	1	10	1
11	1	11	1
12	2	1	0.81409788
13	2	2	0.75115609
14	2	3	0.72149146
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	0.74898052
24	3	2	0.72676915
25	3	3	0.65472937
26	3	4	0.74114096
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	0.845626
35	4	2	0.84281641
36	4	3	0.84698033
37	4	4	0.86848587
38	4	5	0.7061078
39	4	6	0.62776548
40	4	7	
41	4	8	
42	4	9	0.69501466
43	4	10	1
44	4	11	1
