Point	Row	Column	Pos_110
1	1	1	30.91004
2	1	2	30.899714
3	1	3	30.882778
4	1	4	30.866182
5	1	5	30.849115
6	1	6	30.83576
7	1	7	30.82725
8	1	8	30.817089
9	1	9	30.811035
10	1	10	30.800316
11	1	11	30.791138
12	2	1	30.848757
13	2	2	30.820545
14	2	3	30.868105
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	30.763948
24	3	2	30.802141
25	3	3	30.838285
26	3	4	30.773283
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	30.71364
35	4	2	30.694927
36	4	3	30.683897
37	4	4	30.675749
38	4	5	30.733126
39	4	6	30.753532
40	4	7	
41	4	8	
42	4	9	30.715212
43	4	10	30.622463
44	4	11	30.612829
