Point	Row	Column	FWHM_110
1	1	1	0.51644677
2	1	2	0.51745594
3	1	3	0.5207603
4	1	4	0.51932013
5	1	5	0.5254367
6	1	6	0.51641506
7	1	7	0.49002108
8	1	8	0.48587221
9	1	9	0.48781481
10	1	10	0.52697998
11	1	11	0.51111114
12	2	1	0.52960086
13	2	2	0.48494574
14	2	3	0.48673645
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	0.48551467
24	3	2	0.48349109
25	3	3	0.51566654
26	3	4	0.46672279
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	0.52136838
35	4	2	0.54055953
36	4	3	0.53473979
37	4	4	0.44829249
38	4	5	0.51071316
39	4	6	0.59125096
40	4	7	
41	4	8	
42	4	9	0.49882561
43	4	10	0.46523079
44	4	11	0.5331133
