Point	Row	Column	a_Ang
1	1	1	4.0863748
2	1	2	4.087707
3	1	3	4.0898938
4	1	4	4.0920396
5	1	5	4.0942483
6	1	6	4.0959787
7	1	7	4.0970821
8	1	8	4.0984001
9	1	9	4.0991859
10	1	10	4.1005778
11	1	11	4.1017704
12	2	1	4.0942945
13	2	2	4.0979519
14	2	3	4.0917912
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	4.1053081
24	3	2	4.1003408
25	3	3	4.0956511
26	3	4	4.1040931
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	
34	4	1	4.1118703
35	4	2	4.1143169
36	4	3	4.1157603
37	4	4	4.1168275
38	4	5	4.1093264
39	4	6	4.1066651
40	4	7	
41	4	8	
42	4	9	4.1116652
43	4	10	4.1238189
44	4	11	4.1250858
