Point	Row	Column	x_mm
1	1	1	5.402
2	1	2	9.3999996
3	1	3	13.398
4	1	4	17.39798
5	1	5	21.393999
6	1	6	25.39197
7	1	7	29.391991
8	1	8	33.387989
9	1	9	37.38599
10	1	10	41.383991
11	1	11	45.381989
12	2	1	5.402
13	2	2	9.3999996
14	2	3	13.398
15	2	4	17.395981
16	2	5	21.396
17	2	6	25.39197
18	2	7	29.38999
19	2	8	33.387989
20	2	9	37.38599
21	2	10	41.383991
22	2	11	45.381989
23	3	1	5.4000001
24	3	2	9.4020004
25	3	3	13.398
26	3	4	17.395981
27	3	5	21.393999
28	3	6	25.39197
29	3	7	29.391991
30	3	8	33.387989
31	3	9	37.38599
32	3	10	41.383991
33	3	11	45.381989
34	4	1	5.4000001
35	4	2	9.3999996
36	4	3	13.398
37	4	4	17.395981
38	4	5	21.393999
39	4	6	25.39197
40	4	7	29.38999
41	4	8	33.387989
42	4	9	37.387989
43	4	10	41.383991
44	4	11	45.383991
