Point	Row	Column	Y_at
1	1	1	0.090167388
2	1	2	0.092434376
3	1	3	0.09044338
4	1	4	0.092051521
5	1	5	0.093082748
6	1	6	0.091307722
7	1	7	0.092482224
8	1	8	0.092213988
9	1	9	0.09105546
10	1	10	0.089937866
11	1	11	0.087167926
12	2	1	0.094072841
13	2	2	0.094765298
14	2	3	0.096898489
15	2	4	0.094543941
16	2	5	0.097898692
17	2	6	0.097830459
18	2	7	0.09863662
19	2	8	0.097876728
20	2	9	0.095946603
21	2	10	0.094321281
22	2	11	0.095083013
23	3	1	0.091763318
24	3	2	0.094094865
25	3	3	0.095467694
26	3	4	0.097236894
27	3	5	0.095827229
28	3	6	0.096852928
29	3	7	0.096821837
30	3	8	0.096122563
31	3	9	0.095573008
32	3	10	0.094360225
33	3	11	0.096337356
34	4	1	0.088042587
35	4	2	0.089641213
36	4	3	0.091023989
37	4	4	0.089997493
38	4	5	0.092389606
39	4	6	0.091014348
40	4	7	0.091093227
41	4	8	0.092053242
42	4	9	0.092921473
43	4	10	0.090487562
44	4	11	0.091200091
