Point	Row	Column	MaxInt_111
1	1	1	
2	1	2	217.46309
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	241.20277
10	1	10	230.10088
11	1	11	
12	2	1	756.97491
13	2	2	544.43872
14	2	3	396.6069
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	418.0748
24	3	2	366.07886
25	3	3	323.95767
26	3	4	323.54031
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	226.52409
34	4	1	336.5773
35	4	2	287.12839
36	4	3	267.90677
37	4	4	247.8441
38	4	5	
39	4	6	
40	4	7	246.52553
41	4	8	
42	4	9	259.62982
43	4	10	267.78964
44	4	11	248.90292
