Point	Row	Column	Norm_Int110
1	1	1	10.659344
2	1	2	13.2182
3	1	3	16.161325
4	1	4	18.621899
5	1	5	18.461382
6	1	6	19.34054
7	1	7	17.491947
8	1	8	15.777491
9	1	9	14.22247
10	1	10	10.663091
11	1	11	9.3838205
12	2	1	10.134743
13	2	2	10.090265
14	2	3	8.1666622
15	2	4	9.3803072
16	2	5	12.173864
17	2	6	13.696424
18	2	7	14.923816
19	2	8	14.346783
20	2	9	14.174241
21	2	10	12.442997
22	2	11	11.509255
23	3	1	12.415566
24	3	2	10.512657
25	3	3	9.7462864
26	3	4	9.9198275
27	3	5	11.785086
28	3	6	13.90449
29	3	7	14.471739
30	3	8	15.172055
31	3	9	14.965068
32	3	10	13.101533
33	3	11	11.974474
34	4	1	10.911184
35	4	2	11.970218
36	4	3	12.323226
37	4	4	12.933813
38	4	5	13.077184
39	4	6	13.726032
40	4	7	13.471621
41	4	8	12.82764
42	4	9	11.854128
43	4	10	11.608416
44	4	11	9.9741745
