Point	Row	Column	MaxInt_110
1	1	1	1759.1116
2	1	2	2191.8418
3	1	3	2637.3667
4	1	4	2923.0796
5	1	5	2729.146
6	1	6	2647.3333
7	1	7	2160.9553
8	1	8	1746.2526
9	1	9	1383.7041
10	1	10	911.8009
11	1	11	697.87476
12	2	1	2011.8478
13	2	2	2042.5723
14	2	3	1655.0557
15	2	4	1852.7045
16	2	5	2282.7212
17	2	6	2377.8362
18	2	7	2364.9771
19	2	8	2047.4294
20	2	9	1781.2769
21	2	10	1384.0345
22	2	11	1105.9243
23	3	1	2097.9824
24	3	2	1833.5125
25	3	3	1721.3892
26	3	4	1732.2994
27	3	5	1995.215
28	3	6	2218.3223
29	3	7	2135.4497
30	3	8	2043.0688
31	3	9	1806.8823
32	3	10	1399.7678
33	3	11	1114.2249
34	4	1	1136.3999
35	4	2	1320.1953
36	4	3	1412.4882
37	4	4	1528.3888
38	4	5	1559.1926
39	4	6	1598.6709
40	4	7	1512.7283
41	4	8	1351.7767
42	4	9	1139.5374
43	4	10	1009.0035
44	4	11	767.91168
