Point	Row	Column	_s_FWHM
1	1	1	0.1271102
2	1	2	0.12137732
3	1	3	0.11905514
4	1	4	0.11507239
5	1	5	0.11152697
6	1	6	0.10979408
7	1	7	0.10513179
8	1	8	0.10013326
9	1	9	0.088683173
10	1	10	0.087895177
11	1	11	0.086169355
12	2	1	0.14977841
13	2	2	0.15233032
14	2	3	0.151291
15	2	4	0.1490353
16	2	5	0.14868818
17	2	6	0.13802564
18	2	7	0.13293575
19	2	8	0.12665007
20	2	9	0.1141732
21	2	10	0.10682189
22	2	11	0.10101661
23	3	1	0.14870389
24	3	2	0.15110634
25	3	3	0.15100081
26	3	4	0.15096755
27	3	5	0.15070283
28	3	6	0.1465371
29	3	7	0.14413004
30	3	8	0.14141557
31	3	9	0.13382801
32	3	10	0.12904304
33	3	11	0.12072764
34	4	1	0.11781877
35	4	2	0.12084796
36	4	3	0.12182335
37	4	4	0.12562558
38	4	5	0.13353026
39	4	6	0.1344406
40	4	7	0.1389645
41	4	8	0.1377469
42	4	9	0.13397096
43	4	10	0.13882811
44	4	11	0.1277172
