Point	Row	Column	FWHM_111
1	1	1	
2	1	2	0.23290282
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	0.22186577
10	1	10	0.24083234
11	1	11	
12	2	1	0.64240015
13	2	2	0.70484889
14	2	3	0.87006158
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	0.90977377
24	3	2	0.97225392
25	3	3	0.95443302
26	3	4	0.94827932
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	0.95689368
34	4	1	0.82994789
35	4	2	0.90213329
36	4	3	0.68583941
37	4	4	0.66959804
38	4	5	
39	4	6	
40	4	7	0.79822713
41	4	8	
42	4	9	0.69753093
43	4	10	0.60912848
44	4	11	0.69843334
